Contract_code,contract_type,City,town,building_type,Region,application,area,percent,price,price_per_mm,age,Skeleton_type,time,Postal_code
19197078,Contr_letter,Qom,Qom,apartment,,Residential,60.83,100,3380000,55564.69,5,concrete,1399/04/23,371137
19197238,Contr_letter,Qom,Qom,apartment,8,Residential,80,100,4960000,62000,11,metallic_&_concrete,1399/04/23,374915
19197248,Contr_letter,Qom,Qom,apartment,,Residential,61.41,100,2400000,39081.58,5,concrete,1399/04/23,371146
19197835,Contr_letter,Qom,Qom,apartment,8,Residential,80.27,100,4420000,55064.16,7,concrete,1399/04/24,374917
19197879,Contr_letter,Qom,Qom,apartment,5,Residential,112,100,6160000,55000,0,concrete,1399/04/24,371419
19198488,Contr_letter,Qom,Qom,apartment,,Residential,87,100,4570000,52528.74,7,concrete,1399/04/24,371137
19199373,Contr_letter,Qom,Qom,apartment,,Residential,85,100,3950000,46470.59,6,concrete,1399/04/24,371135
19199682,Contr_letter,Qom,Qom,apartment,8,Residential,79.8,100,4490000,56265.66,6,concrete,1399/04/24,374919
19200519,Contr_letter,Qom,Qom,apartment,,Residential,84.8,100,5000000,58962.26,6,concrete,1399/04/24,371998
19202235,Contr_letter,Qom,Qom,apartment,,Residential,115,100,9000000,78260.87,2,concrete,1399/04/24,371343
19202241,Contr_letter,Qom,Qom,apartment,8,Residential,105,100,7875000,75000,1,concrete,1399/04/24,374914
19202604,Contr_letter,Qom,Qom,apartment,8,Residential,73.17,100,4270000,58357.25,15,metallic,1399/04/24,374913
19202951,Contr_letter,Qom,Qom,apartment,,Residential,90.5,100,7700000,85082.87,12,concrete,1399/04/24,371313
19203250,Contr_letter,Qom,Qom,apartment,,Residential,117.91,100,11850000,100500.38,3,concrete,1399/04/24,371341
19203956,Contr_letter,Qom,Qom,apartment,8,Residential,78,100,4150000,53205.13,7,concrete,1399/04/24,371146
19203961,Contr_letter,Qom,Qom,apartment,,Residential,78.43,100,4450000,56738.49,10,concrete,1399/04/24,374917
19203969,Contr_letter,Qom,Qom,apartment,8,Residential,110,100,9350000,85000,0,concrete,1399/04/24,371165
19204319,Contr_letter,Qom,Qom,apartment,,Residential,127,100,11640000,91653.54,1,concrete,1399/04/24,371488
19204648,Contr_letter,Qom,Qom,apartment,8,Residential,78.82,100,4400000,55823.4,10,concrete,1399/04/24,374917
19205240,Contr_letter,Qom,Qom,apartment,,Residential,72.68,100,3680000,50632.91,9,concrete,1399/04/25,371131
19205720,Contr_letter,Qom,Qom,apartment,8,Residential,62.01,100,3300000,53217.22,7,concrete,1399/04/25,371135
19205823,Contr_letter,Qom,Qom,apartment,,Residential,100.17,100,6550000,65388.84,5,concrete,1399/04/25,371168
19206281,Contr_letter,Qom,Qom,apartment,8,Residential,90.8,100,5080000,55947.14,9,concrete,1399/04/25,374918
19206668,Contr_letter,Qom,Qom,apartment,8,Residential,93,100,4650000,50000,5,concrete,1399/04/25,371134
